事项,说明
主目标,四指标归一化加权，W:Cmax:E:N=3:1.5:1:0.5；31个硬截止均为硬约束。
开始时刻,准备开始；无人机和满电电池均从此时占用。准备300秒，再按每箱30秒装载。
交付时刻,基础交接后逐箱连续交接；箱序参与优化，最后一箱交完后才能飞往下一站。
电池周转,返航立即按SOC分段充电。下一任务准备开始前充满。同型共享，跨型禁用，无额外充电器上限。
最终完工,所有运输机最终返航的最晚时刻，不包含末次电池充电，也不等于累计作业时间。
数值精度,时间1毫秒；飞行、充电向上取整。能耗目标按1e-9kWh量化。求解状态中的W为系数·毫秒、完工为毫秒、能耗为1e-9kWh单位、架次为整数。
最优性范围,分数为固定尺度加权和。CP-SAT状态只针对该次候选池及数值精度，未证明完整问题全局最优。
搜索限制,每架次同一服务区至多访问一次；不设二站或三站上限。候选池有限，可能遗漏更优路线。
刷新方式,权重设置只重算已保存方案评分；重新优化运行run_q2_weighted.py，仅重导出添加--report-only。
能源解释,水平能耗=可用能量×距离/等效航程；爬升能耗=势能/效率。沿用问题一，并非题面逐项展开的原公式。
原始来源,数据/无人机应急物资运输基础数据：节点、逐箱需求、运输机参数及库存；完整30米DEM；原结果模板。
权重修改,权重设置可对已保存方案重新评分；运输安排不会自动重算。重新优化请运行run_q2_weighted.py。
情景搜索,四组仅放大一个权重10倍，其余不变。每组3000次快速ALNS与列表调度，末尾CP-SAT精修。
情景间回评,按各情景自身权重，从9个已保存完整方案选择最好；原始独立终点另存，不新增求解，不从仅有目标向量的云图记录恢复方案。
